0.000000	0.000000
0.080000	0.000010
0.160000	0.000080
0.240000	0.000263
0.320000	0.000606
0.400000	0.001148
0.480000	0.001927
0.560000	0.002970
0.640000	0.004304
0.720000	0.005951
0.800000	0.007926
0.880000	0.010245
0.960000	0.012917
1.040000	0.015950
1.120000	0.019348
1.200000	0.023115
1.280000	0.027251
1.360000	0.031754
1.440000	0.036620
1.520000	0.041845
1.600000	0.047423
1.680000	0.053345
1.760000	0.059604
1.840000	0.066190
1.920000	0.073093
2.000000	0.080301
2.080000	0.087804
2.160000	0.095589
2.240000	0.103644
2.320000	0.111956
2.400000	0.120513
2.480000	0.129301
2.560000	0.138307
2.640000	0.147518
2.720000	0.156921
2.800000	0.166502
2.880000	0.176250
2.960000	0.186150
3.040000	0.196190
3.120000	0.206358
3.200000	0.216642
3.280000	0.227028
3.360000	0.237507
3.440000	0.248065
3.520000	0.258693
3.600000	0.269379
3.680000	0.280112
3.760000	0.290883
3.840000	0.301682
3.920000	0.312498
4.000000	0.323324
4.080000	0.334149
4.160000	0.344966
4.240000	0.355766
4.320000	0.366542
4.400000	0.377286
4.480000	0.387991
4.560000	0.398651
4.640000	0.409258
4.720000	0.419807
4.800000	0.430291
4.880000	0.440706
4.960000	0.451046
5.040000	0.461307
5.120000	0.471483
5.200000	0.481570
5.280000	0.491565
5.360000	0.501464
5.440000	0.511262
5.520000	0.520957
5.600000	0.530546
5.680000	0.540026
5.760000	0.549395
5.840000	0.558650
5.920000	0.567789
6.000000	0.576810
6.080000	0.585712
6.160000	0.594492
6.240000	0.603151
6.320000	0.611686
6.400000	0.620096
6.480000	0.628382
6.560000	0.636541
6.640000	0.644574
6.720000	0.652481
6.800000	0.660260
6.880000	0.667912
6.960000	0.675438
7.040000	0.682836
7.120000	0.690108
7.200000	0.697253
7.280000	0.704273
7.360000	0.711167
7.440000	0.717936
7.520000	0.724581
7.600000	0.731103
7.680000	0.737503
7.760000	0.743781
7.840000	0.749939
7.920000	0.755977
